user_id,file_id,rating,combo_5_B__perp_token_curv_lex_disc__pred,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,mean_rank,rank_entropy,curvature_z,ll_orig,mean_ll_pert,std_ll_pert,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,total_connectives,connective_entropy,connective_density_per_100w,enumeration_count
70,1,5.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2063,9.7513,6.8952,0.7953,0.0265,95.9276,69.3816,0.4056,0.1996,4.9087,78.0,0.8866,3.4899,0.0
71,1,5.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5562,10.0891,7.1341,0.8988,0.0175,92.3864,61.8643,0.7049,0.1311,4.9331,4.0,0.8113,1.2158,0.0
72,1,5.0,3.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3659,8.115,5.7382,0.8378,0.0262,128.6437,67.9653,0.5222,0.2333,4.9715,7.0,0.8631,1.4228,0.0
73,1,4.0,4.0,-3.6418,38.1589,0.0216,0.2431,0.651,1678.698,4.6583,2.5828,-3.6418,-3.9899,0.1348,0.6806,11.5494,8.1667,0.932,0.012,47.9842,198.5463,0.7347,0.1633,5.3056,5.0,1.371,1.7361,0.0
74,1,3.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.389,8.6197,6.0951,0.8476,0.0246,156.8767,46.3346,0.6283,0.1466,4.9043,9.0,1.2244,1.833,1.0
75,1,5.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4595,10.5887,7.4873,0.8761,0.0197,92.4951,92.9159,0.627,0.1926,4.5913,9.0,1.6577,1.6949,0.0
0,2,5.0,4.28,-4.3536,77.7567,0.0384,0.3152,0.7192,1706.2889,5.8364,1.8368,-4.3536,-4.5474,0.1055,0.6203,11.5214,8.1468,0.9183,0.014,47.385,235.1777,0.6589,0.1916,5.2754,6.0,1.4591,1.7391,0.0
1,2,5.0,4.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4755,9.3532,6.6137,0.8752,0.0209,94.9462,95.6491,0.6087,0.1957,4.6047,9.0,0.5033,2.3256,0.0
2,2,4.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.6235,9.6333,0.8701,0.0184,54.9941,132.8164,0.5884,0.1767,4.9509,37.0,1.5943,3.1897,0.0
3,2,5.0,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3248,11.2832,7.9784,0.8415,0.0223,57.6999,122.6135,0.4847,0.1862,5.0423,20.0,1.1918,1.657,0.0
4,2,5.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5066,9.8877,6.9917,0.8856,0.0193,101.6802,70.9541,0.6632,0.1554,4.7822,7.0,0.5917,1.8373,0.0
5,2,4.0,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4928,10.0261,7.0895,0.8825,0.0195,104.2031,107.7801,0.6765,0.152,5.0604,19.0,1.087,4.5894,0.0
6,2,4.0,4.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5077,10.8525,7.6739,0.8893,0.0181,88.9638,100.1965,0.681,0.1552,5.0044,7.0,1.1488,1.5317,0.0
7,2,4.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5228,11.2245,7.9369,0.8943,0.0172,85.8268,119.8478,0.7095,0.1577,5.1128,18.0,1.2332,3.9046,0.0
8,2,3.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5073,11.103,7.851,0.89,0.0178,59.9718,82.9638,0.6132,0.1852,4.8831,6.0,1.2516,1.2526,0.0
9,2,4.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3993,9.7489,6.8935,0.8563,0.0225,78.9942,112.7419,0.5546,0.1681,5.2047,23.0,1.0862,3.8591,0.0
10,2,3.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4522,9.6981,6.8576,0.8705,0.0211,90.0756,110.7403,0.5962,0.1779,4.8696,9.0,-0.0,1.9565,0.0
11,2,4.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4419,9.7019,6.8603,0.8678,0.0214,117.3361,53.5222,0.6385,0.1643,4.7386,6.0,0.65,1.2448,0.0
12,2,5.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5262,9.4854,6.7072,0.889,0.0192,85.5858,107.1444,0.6257,0.1754,4.8092,6.0,0.9183,1.8462,0.0
13,2,2.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3874,14.5569,10.2933,0.8692,0.018,49.7255,203.4336,0.5448,0.1883,5.1813,36.0,1.5129,2.5496,0.0
14,2,5.0,4.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3938,8.9185,6.3063,0.8506,0.0239,145.0779,61.7097,0.6188,0.1931,4.6199,4.0,-0.0,0.7797,0.0
15,2,4.0,3.96,-3.2134,24.8627,0.0069,0.2887,0.7737,1114.0785,3.6724,4.1532,-3.2134,-3.706,0.1186,0.4731,7.9026,5.588,0.8671,0.0236,152.8757,52.3635,0.6439,0.1742,4.319,3.0,-0.0,1.0753,0.0
16,2,2.0,4.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3728,10.5046,7.4279,0.8522,0.0221,75.5033,110.7829,0.5405,0.1993,5.1725,34.0,1.1965,4.2821,0.0
