user_id,file_id,rating,combo_11_E__add_perp_token_ner_disc__pred,cosine_sim,norm_gap,nli_mean_entail,nli_mean_contra,content_vs_function_ratio,pos_entropy,verbs_per_sentence,flesch_reading_ease,fk_grade_level,ttr,mtld,yules_k,avg_tree_depth,avg_dep_distance,entity_continuity,role_transitions,vader_compound,tb_subjectivity,sentence_length,avg_logprob,ppl,proportion_top100,entity_density,entity_label_entropy,connective_entropy,connective_density_per_100w
10,1,4.0,4.02,0.0,0.0,0.0,0.0,10.6061,2.8124,3.0,11.8978,29.8841,0.3605,39.4637,174.5289,5.8,3.5207,0.4135,0.1263,0.9826,0.4866,466.0,0.0,0.0,0.0,0.2252,1.6652,-0.0,0.6438
11,1,4.0,4.04,0.0,0.0,0.0,0.0,7.8824,2.8324,7.0,-21.7357,40.0573,0.4734,86.2557,100.1365,8.6,3.4133,0.3853,0.1835,0.9928,0.5098,338.0,0.0,0.0,0.0,0.1826,1.9633,-0.0,0.8876
12,1,5.0,4.45,0.6731,0.0,0.2231,0.4042,9.5581,2.8864,4.3333,-72.2403,61.0136,0.352,47.1059,147.1412,6.4167,4.0902,0.4586,0.2087,0.9919,0.4972,554.0,-3.1835,24.1312,0.3058,0.2187,1.8166,-0.0,0.9025
13,1,5.0,4.53,0.0,0.0,0.0,0.0,2.5877,2.9406,1.0505,49.2981,9.2996,0.3721,126.2784,111.7144,4.7576,2.6793,0.5,0.3141,0.9985,0.4643,1126.0,0.0,0.0,0.0,0.053,2.3435,0.8082,4.7069
14,1,5.0,4.04,0.0,0.0,0.0,0.0,8.6,2.7089,2.75,-63.3114,52.3982,0.561,192.5,62.2027,5.75,3.7612,0.3651,0.1972,0.9932,0.4678,385.0,0.0,0.0,0.0,0.0906,2.5648,-0.0,1.5584
15,1,4.0,4.12,0.0,0.0,0.0,0.0,6.8958,2.8034,1.4583,46.7841,14.2488,0.5284,153.2061,61.2102,4.5833,3.0167,0.375,0.2302,0.9929,0.4892,405.0,0.0,0.0,0.0,0.1385,1.7033,0.8113,0.9877
16,1,4.0,4.12,0.0,0.0,0.0,0.0,3.6325,2.9061,1.75,24.0577,19.5016,0.2914,150.8376,88.3031,5.3333,3.2098,0.554,0.2923,0.9979,0.5427,1644.0,0.0,0.0,0.0,0.0763,2.7677,0.5015,5.4745
17,1,4.0,3.86,0.7631,0.0,0.0,0.0,5.4167,3.0105,4.5,-9.162,33.1693,0.8659,171.1564,44.6163,6.5,3.4229,0.1333,0.1111,0.9393,0.6,82.0,-4.363,78.4923,0.3193,0.0642,1.9502,1.0,2.439
18,1,3.0,2.79,0.6604,0.0,0.1238,0.2408,6.6596,2.9461,2.5385,28.0828,23.0769,0.3922,48.4338,190.9187,5.5385,3.3042,0.464,0.1986,0.9828,0.3458,487.0,-2.8581,17.4288,0.3659,0.1862,1.5202,1.8424,1.4374
19,1,5.0,4.51,0.0,0.0,0.0,0.0,3.9298,2.8749,1.125,48.0604,11.9915,0.3854,76.1186,110.045,5.325,2.7826,0.4769,0.2523,0.9974,0.5596,628.0,0.0,0.0,0.0,0.1403,2.1439,0.3912,2.0701
