user_id,file_id,rating,ll_orig,mean_ll_pert,std_ll_pert,curvature_z,n_perturb_used,pred_rating
75,2,4,-3.1126,-4.2699,0.2485,4.6564,8,3.86
0,3,5,-inf,-inf,0.0,0.0,0,3.68
1,3,3,-inf,-inf,0.0,0.0,0,3.68
2,3,5,-inf,-inf,0.0,0.0,0,3.68
3,3,5,-inf,-inf,0.0,0.0,0,3.68
4,3,2,-1.6527,-2.4514,0.234,3.413,8,3.4
5,3,3,-inf,-inf,0.0,0.0,0,3.68
6,3,2,-1.7305,-2.6732,0.1538,6.1295,8,3.45
7,3,1,-2.0233,-3.127,0.1651,6.6859,8,2.03
8,3,3,-inf,-inf,0.0,0.0,0,3.68
9,3,3,-inf,-inf,0.0,0.0,0,3.68
10,3,2,-inf,-inf,0.0,0.0,0,3.68
11,3,3,-1.6525,-2.5769,0.1289,7.1732,8,3.91
12,3,2,-inf,-inf,0.0,0.0,0,3.68
13,3,3,-3.3153,-5.0615,0.2876,6.0724,8,3.02
14,3,4,-inf,-inf,0.0,0.0,0,3.68
15,3,1,-inf,-inf,0.0,0.0,0,3.68
16,3,4,-inf,-inf,0.0,0.0,0,3.68
17,3,3,-3.0986,-4.2827,0.4504,2.6289,8,3.25
18,3,4,-inf,-inf,0.0,0.0,0,3.68
19,3,4,-inf,-inf,0.0,0.0,0,3.68
20,3,5,-inf,-inf,0.0,0.0,0,3.68
21,3,4,-3.2703,-4.3817,0.6192,1.7948,8,3.32
22,3,2,-inf,-inf,0.0,0.0,0,3.68
23,3,4,-inf,-inf,0.0,0.0,0,3.68
24,3,4,-inf,-inf,0.0,0.0,0,3.68
25,3,5,-inf,-inf,0.0,0.0,0,3.68
26,3,4,-inf,-inf,0.0,0.0,0,3.68
27,3,3,-inf,-inf,0.0,0.0,0,3.68
28,3,2,-1.6491,-2.5961,0.2495,3.7953,8,2.56
29,3,4,-1.7034,-2.7017,0.1544,6.466,8,3.38
30,3,4,-inf,-inf,0.0,0.0,0,3.68
31,3,4,-1.54,-2.4523,0.1079,8.4515,8,3.89
32,3,2,-inf,-inf,0.0,0.0,0,3.68
33,3,4,-inf,-inf,0.0,0.0,0,3.68
34,3,2,-1.4166,-2.5393,0.1291,8.6954,8,4.05
35,3,1,-1.6067,-2.6572,0.201,5.2254,8,1.67
36,3,3,-inf,-inf,0.0,0.0,0,3.68
37,3,4,-1.9545,-2.8275,0.3773,2.3136,8,3.11
38,3,2,-inf,-inf,0.0,0.0,0,3.68
39,3,2,-inf,-inf,0.0,0.0,0,3.68
40,3,4,-inf,-inf,0.0,0.0,0,3.68
41,3,3,-inf,-inf,0.0,0.0,0,3.68
42,3,4,-inf,-inf,0.0,0.0,0,3.68
43,3,5,-1.9493,-2.9501,0.0676,14.8018,8,3.76
44,3,3,-inf,-inf,0.0,0.0,0,3.68
45,3,3,-inf,-inf,0.0,0.0,0,3.68
46,3,5,-inf,-inf,0.0,0.0,0,3.68
47,3,1,-1.6381,-2.7476,0.1107,10.0221,8,1.33
48,3,4,-inf,-inf,0.0,0.0,0,3.68
49,3,4,-inf,-inf,0.0,0.0,0,3.68
50,3,5,-1.8534,-2.6908,0.1721,4.8658,8,4.15
51,3,4,-5.8637,-9.5786,1.1582,3.2076,8,3.29
52,3,3,-inf,-inf,0.0,0.0,0,3.68
53,3,5,-inf,-inf,0.0,0.0,0,3.68
54,3,5,-inf,-inf,0.0,0.0,0,3.68
55,3,5,-inf,-inf,0.0,0.0,0,3.68
56,3,5,-inf,-inf,0.0,0.0,0,3.68
57,3,4,-1.5175,-2.6109,0.1379,7.9304,8,3.43
58,3,4,-inf,-inf,0.0,0.0,0,3.68
59,3,4,-inf,-inf,0.0,0.0,0,3.68
60,3,3,-inf,-inf,0.0,0.0,0,3.68
61,3,3,-inf,-inf,0.0,0.0,0,3.68
62,3,2,-inf,-inf,0.0,0.0,0,3.68
63,3,5,-inf,-inf,0.0,0.0,0,3.68
64,3,3,-inf,-inf,0.0,0.0,0,3.68
65,3,4,-inf,-inf,0.0,0.0,0,3.68
66,3,4,-inf,-inf,0.0,0.0,0,3.68
67,3,4,-inf,-inf,0.0,0.0,0,3.68
68,3,4,-inf,-inf,0.0,0.0,0,3.68
69,3,4,-inf,-inf,0.0,0.0,0,3.68
70,3,3,-1.7416,-2.7371,0.0709,14.0409,8,3.07
71,3,5,-3.0711,-4.3669,0.2814,4.605,8,4.07
72,3,4,-inf,-inf,0.0,0.0,0,3.68
73,3,4,-inf,-inf,0.0,0.0,0,3.68
74,3,4,-1.9016,-2.9304,0.1944,5.2925,8,3.85
75,3,4,-inf,-inf,0.0,0.0,0,3.68
0,4,5,-inf,-inf,0.0,0.0,0,3.68
1,4,3,-inf,-inf,0.0,0.0,0,3.68
2,4,2,-inf,-inf,0.0,0.0,0,3.68
3,4,5,-inf,-inf,0.0,0.0,0,3.68
4,4,2,-1.975,-3.0824,0.1349,8.2084,8,2.13
5,4,4,-inf,-inf,0.0,0.0,0,3.68
6,4,2,-inf,-inf,0.0,0.0,0,3.68
7,4,1,-1.7915,-2.7168,0.1019,9.0849,8,2.18
8,4,2,-inf,-inf,0.0,0.0,0,3.68
9,4,3,-inf,-inf,0.0,0.0,0,3.68
10,4,3,-inf,-inf,0.0,0.0,0,3.68
11,4,3,-inf,-inf,0.0,0.0,0,3.68
12,4,5,-inf,-inf,0.0,0.0,0,3.68
13,4,1,-1.9086,-3.1657,0.3196,3.9336,8,2.63
14,4,4,-inf,-inf,0.0,0.0,0,3.68
15,4,2,-1.7284,-2.6153,0.1416,6.2627,8,2.94
16,4,4,-inf,-inf,0.0,0.0,0,3.68
17,4,4,-2.0922,-3.1164,0.2004,5.1107,8,3.22
18,4,3,-inf,-inf,0.0,0.0,0,3.68
19,4,3,-1.6384,-2.6163,0.1054,9.2767,8,2.73
20,4,4,-inf,-inf,0.0,0.0,0,3.68
21,4,4,-3.2703,-4.8505,0.2888,5.4716,8,3.39
22,4,4,-inf,-inf,0.0,0.0,0,3.68
23,4,4,-inf,-inf,0.0,0.0,0,3.68
24,4,4,-inf,-inf,0.0,0.0,0,3.68
25,4,5,-inf,-inf,0.0,0.0,0,3.68
26,4,3,-inf,-inf,0.0,0.0,0,3.68
27,4,4,-inf,-inf,0.0,0.0,0,3.68
28,4,4,-inf,-inf,0.0,0.0,0,3.68
29,4,1,-1.8948,-2.929,0.0963,10.7419,8,1.7
30,4,4,-inf,-inf,0.0,0.0,0,3.68
31,4,5,-inf,-inf,0.0,0.0,0,3.68
32,4,2,-inf,-inf,0.0,0.0,0,3.68
33,4,4,-inf,-inf,0.0,0.0,0,3.68
34,4,1,-1.9386,-3.3095,0.2827,4.8492,8,2.15
35,4,1,-inf,-inf,0.0,0.0,0,3.68
36,4,2,-inf,-inf,0.0,0.0,0,3.68
37,4,5,-inf,-inf,0.0,0.0,0,3.68
38,4,3,-inf,-inf,0.0,0.0,0,3.68
39,4,4,-inf,-inf,0.0,0.0,0,3.68
40,4,4,-inf,-inf,0.0,0.0,0,3.68
41,4,5,-inf,-inf,0.0,0.0,0,3.68
42,4,4,-inf,-inf,0.0,0.0,0,3.68
43,4,4,-inf,-inf,0.0,0.0,0,3.68
44,4,2,-inf,-inf,0.0,0.0,0,3.68
45,4,3,-inf,-inf,0.0,0.0,0,3.68
46,4,4,-inf,-inf,0.0,0.0,0,3.68
47,4,2,-1.6381,-2.8292,0.1195,9.9642,8,1.66
48,4,5,-inf,-inf,0.0,0.0,0,3.68
49,4,4,-inf,-inf,0.0,0.0,0,3.68
50,4,3,-inf,-inf,0.0,0.0,0,3.68
51,4,4,-2.8875,-4.1549,0.2392,5.299,8,3.98
52,4,4,-inf,-inf,0.0,0.0,0,3.68
53,4,5,-inf,-inf,0.0,0.0,0,3.68
54,4,4,-inf,-inf,0.0,0.0,0,3.68
55,4,5,-inf,-inf,0.0,0.0,0,3.68
56,4,5,-inf,-inf,0.0,0.0,0,3.68
57,4,4,-inf,-inf,0.0,0.0,0,3.68
58,4,4,-inf,-inf,0.0,0.0,0,3.68
59,4,3,-inf,-inf,0.0,0.0,0,3.68
60,4,2,-inf,-inf,0.0,0.0,0,3.68
61,4,4,-inf,-inf,0.0,0.0,0,3.68
62,4,2,-inf,-inf,0.0,0.0,0,3.68
63,4,5,-inf,-inf,0.0,0.0,0,3.68
64,4,4,-1.82,-2.8502,0.1477,6.9726,8,2.15
65,4,3,-inf,-inf,0.0,0.0,0,3.68
66,4,4,-inf,-inf,0.0,0.0,0,3.68
67,4,4,-inf,-inf,0.0,0.0,0,3.68
68,4,4,-inf,-inf,0.0,0.0,0,3.68
69,4,2,-inf,-inf,0.0,0.0,0,3.68
70,4,4,-inf,-inf,0.0,0.0,0,3.68
71,4,5,-inf,-inf,0.0,0.0,0,3.68
72,4,4,-inf,-inf,0.0,0.0,0,3.68
73,4,3,-inf,-inf,0.0,0.0,0,3.68
74,4,4,-1.8961,-2.7766,0.2886,3.0509,8,3.48
75,4,4,-inf,-inf,0.0,0.0,0,3.68
